# Region          : all region0
# Cells           : 7500
# Volume          : 2.6000000000e-01
# Time            	average(p)
0.0376334         	1.7316894396e+05
0.0376525         	1.7301718109e+05
0.0376714         	1.7286754429e+05
0.0376904         	1.7271806469e+05
0.0377092         	1.7256984504e+05
0.0377279         	1.7242125514e+05
0.0377467         	1.7227260417e+05
0.0377655         	1.7212407761e+05
0.0377841         	1.7197724440e+05
0.0378029         	1.7182921783e+05
0.0378217         	1.7168194230e+05
0.0378404         	1.7153489995e+05
0.0378592         	1.7138752998e+05
0.037878          	1.7123997901e+05
0.0378968         	1.7109238772e+05
0.0379156         	1.7094465578e+05
0.0379343         	1.7079718393e+05
0.0379531         	1.7064994677e+05
0.0379719         	1.7050216558e+05
0.0379907         	1.7035470396e+05
0.0380095         	1.7020726581e+05
0.0380282         	1.7005974281e+05
0.038047          	1.6991213337e+05
0.0380658         	1.6976470521e+05
0.0380846         	1.6961747516e+05
0.0381033         	1.6946935245e+05
0.0381221         	1.6932134428e+05
0.0381407         	1.6917469451e+05
0.0381593         	1.6902820919e+05
0.0381779         	1.6888186776e+05
0.0381965         	1.6873615997e+05
0.0382151         	1.6859084292e+05
0.0382337         	1.6844485319e+05
0.0382523         	1.6829932575e+05
0.0382709         	1.6815405294e+05
0.0382895         	1.6800852904e+05
0.0383081         	1.6786287917e+05
0.0383264         	1.6771933892e+05
0.038345          	1.6757463533e+05
0.0383636         	1.6742977554e+05
0.0383822         	1.6728489256e+05
0.0384008         	1.6713995471e+05
0.0384194         	1.6699579301e+05
0.038438          	1.6685219314e+05
0.0384566         	1.6670871700e+05
0.038475          	1.6656755914e+05
0.0384934         	1.6642614557e+05
0.0385117         	1.6628505059e+05
0.0385301         	1.6614432463e+05
0.0385485         	1.6600365568e+05
0.0385669         	1.6586316541e+05
0.0385852         	1.6572326578e+05
0.0386036         	1.6558365608e+05
0.038622          	1.6544409679e+05
0.0386403         	1.6530472821e+05
0.0386587         	1.6516584089e+05
0.0386771         	1.6502692525e+05
0.0386955         	1.6488801050e+05
0.0387138         	1.6474957253e+05
0.0387322         	1.6461100081e+05
0.0387506         	1.6447292944e+05
0.038769          	1.6433499897e+05
0.0387873         	1.6419696782e+05
0.0388054         	1.6406144672e+05
0.0388238         	1.6392431043e+05
0.0388422         	1.6378742225e+05
0.0388606         	1.6365025906e+05
0.0388789         	1.6351282898e+05
0.0388973         	1.6337498863e+05
0.0389157         	1.6323677389e+05
0.0389341         	1.6309859011e+05
0.0389525         	1.6296024570e+05
