# Region          : all region0
# Cells           : 7500
# Volume          : 2.6000000000e-01
# Time            	average(p)
0.0206297         	2.1063389022e+05
0.0206515         	2.1104532085e+05
0.0206732         	2.1145233311e+05
0.020695          	2.1185390139e+05
0.0207167         	2.1225043025e+05
0.0207385         	2.1264179222e+05
0.0207599         	2.1302291123e+05
0.0207817         	2.1340655964e+05
0.0208032         	2.1378241017e+05
0.0208246         	2.1415711361e+05
0.0208458         	2.1452390497e+05
0.0208671         	2.1489108388e+05
0.0208883         	2.1525777002e+05
0.0209098         	2.1562659750e+05
0.0209312         	2.1598890172e+05
0.0209527         	2.1634751998e+05
0.0209745         	2.1670707672e+05
0.0209966         	2.1706797531e+05
0.0210184         	2.1742005107e+05
0.0210402         	2.1776993266e+05
0.021062          	2.1811767669e+05
0.0210838         	2.1846277170e+05
0.0211056         	2.1880858772e+05
0.0211277         	2.1915733986e+05
0.0211502         	2.1951163975e+05
0.0211727         	2.1986187672e+05
0.0211952         	2.2020989070e+05
0.0212177         	2.2055530051e+05
0.0212406         	2.2090533443e+05
0.0212635         	2.2125067968e+05
0.0212868         	2.2159891570e+05
0.0213106         	2.2194949275e+05
0.0213349         	2.2230657256e+05
0.0213592         	2.2266055887e+05
0.021384          	2.2302536538e+05
0.0214088         	2.2338936608e+05
0.0214341         	2.2375620881e+05
0.0214595         	2.2411622766e+05
0.0214855         	2.2448136199e+05
0.0215115         	2.2484175179e+05
0.0215383         	2.2521009449e+05
0.021565          	2.2557432978e+05
0.0215925         	2.2594674687e+05
0.02162           	2.2631371039e+05
0.0216475         	2.2667829130e+05
0.021675          	2.2704276728e+05
0.0217025         	2.2740527508e+05
0.021731          	2.2777925612e+05
0.0217594         	2.2815214993e+05
0.0217891         	2.2853577035e+05
0.0218187         	2.2891841090e+05
0.0218483         	2.2930013264e+05
0.0218793         	2.2969790227e+05
0.0219104         	2.3009001139e+05
0.0219414         	2.3048056010e+05
0.0219724         	2.3086708836e+05
0.0220035         	2.3124990853e+05
0.0220366         	2.3165694430e+05
0.0220697         	2.3206285254e+05
0.0221028         	2.3246688693e+05
0.0221359         	2.3286691487e+05
0.022169          	2.3326497250e+05
0.0222021         	2.3365903405e+05
0.0222352         	2.3405179077e+05
0.0222683         	2.3443978639e+05
0.0223014         	2.3482987127e+05
0.0223345         	2.3522086354e+05
0.0223676         	2.3561024377e+05
0.0224007         	2.3599597140e+05
0.0224338         	2.3637724987e+05
0.0224669         	2.3675264814e+05
0.0225            	2.3711897284e+05
0.0225347         	2.3749716702e+05
0.0225699         	2.3787714308e+05
0.0226052         	2.3825639676e+05
0.0226404         	2.3863850869e+05
0.0226756         	2.3901560063e+05
0.0227108         	2.3938984865e+05
0.022746          	2.3975899608e+05
0.0227812         	2.4012889678e+05
0.0228159         	2.4049153406e+05
0.0228506         	2.4084636705e+05
0.0228853         	2.4119964968e+05
0.0229199         	2.4154795771e+05
0.0229546         	2.4189313542e+05
0.0229893         	2.4223109411e+05
0.0230239         	2.4256086011e+05
0.0230586         	2.4288578334e+05
0.0230933         	2.4320144601e+05
0.0231286         	2.4351737295e+05
0.0231639         	2.4383168150e+05
0.0231992         	2.4414289683e+05
0.0232345         	2.4445495118e+05
0.0232705         	2.4477292961e+05
0.0233066         	2.4509049049e+05
0.0233426         	2.4540554390e+05
0.0233786         	2.4571540468e+05
0.0234147         	2.4601482859e+05
0.0234515         	2.4631169815e+05
0.0234884         	2.4660145146e+05
0.0235253         	2.4688318251e+05
0.0235621         	2.4716004766e+05
0.023599          	2.4743599657e+05
0.0236359         	2.4770249449e+05
0.0236727         	2.4796685766e+05
0.0237096         	2.4822909550e+05
0.0237465         	2.4848963912e+05
0.0237833         	2.4874579211e+05
0.0238202         	2.4899647927e+05
0.0238571         	2.4924198638e+05
0.0238939         	2.4948158737e+05
0.0239308         	2.4971714957e+05
0.0239665         	2.4994208829e+05
0.0240021         	2.5016763082e+05
0.0240377         	2.5039503943e+05
0.0240734         	2.5062141949e+05
0.024109          	2.5084761610e+05
0.0241447         	2.5107732013e+05
0.0241803         	2.5130940959e+05
0.0242159         	2.5154087442e+05
0.0242516         	2.5177353959e+05
0.0242872         	2.5200590143e+05
0.0243228         	2.5223566286e+05
0.0243585         	2.5246796719e+05
0.0243941         	2.5270322611e+05
0.0244298         	2.5294092641e+05
0.0244633         	2.5316298755e+05
0.0244969         	2.5338650600e+05
0.0245304         	2.5360987608e+05
0.0245617         	2.5381846627e+05
0.024593          	2.5402708395e+05
0.0246243         	2.5423515905e+05
0.0246556         	2.5444336977e+05
0.0246869         	2.5465312824e+05
0.0247182         	2.5486628740e+05
0.0247495         	2.5508090786e+05
0.0247809         	2.5529886849e+05
0.0248122         	2.5551913892e+05
0.0248435         	2.5574193203e+05
0.0248748         	2.5596876311e+05
0.0249061         	2.5619674201e+05
0.0249374         	2.5642621477e+05
0.0249687         	2.5665579042e+05
0.025             	2.5688782961e+05
0.0250281         	2.5709767949e+05
0.0250562         	2.5730766129e+05
0.0250843         	2.5751916531e+05
0.0251127         	2.5773310132e+05
0.0251415         	2.5795140439e+05
0.0251706         	2.5817252673e+05
0.0252001         	2.5839528521e+05
0.0252295         	2.5861599082e+05
0.0252594         	2.5883810562e+05
0.0252893         	2.5905908204e+05
0.0253196         	2.5928425462e+05
0.0253499         	2.5951030433e+05
0.0253801         	2.5973473078e+05
0.0254104         	2.5995775393e+05
0.0254407         	2.6017918929e+05
0.0254714         	2.6040505318e+05
0.0255022         	2.6063262240e+05
0.0255334         	2.6086491276e+05
0.0255651         	2.6110419195e+05
0.0255974         	2.6134746980e+05
0.0256302         	2.6159653432e+05
0.025663          	2.6184790705e+05
0.0256964         	2.6210564293e+05
0.0257304         	2.6237074022e+05
0.0257651         	2.6264455708e+05
0.0257998         	2.6291919096e+05
0.0258352         	2.6319689585e+05
0.0258706         	2.6347290239e+05
0.0259061         	2.6374823183e+05
0.0259423         	2.6402918934e+05
0.0259785         	2.6431144149e+05
0.0260156         	2.6460944684e+05
0.0260527         	2.6491264823e+05
0.0260908         	2.6522706045e+05
0.0261289         	2.6554413929e+05
0.026167          	2.6586535728e+05
0.0262062         	2.6619785579e+05
0.0262454         	2.6653334729e+05
0.0262846         	2.6687567391e+05
0.0263238         	2.6721812678e+05
